Column1,리뷰,날짜,early_access 유무,"src(1= 긍정, 0 = 부정)"
122,"
공식디코 천안문 사건은 잊지 않겠습니다.",2022-04-11,0,0
123,"Posted: January 25
틱.택.토.",,0,1
124,"
Product received for free

스팀에 존재하는 리듬게임 중에서 이게 제일 좋을껄?
고민 하지 마십쇼 절대 후회는 안합니다",2020-10-01,0,1
125,"
엘든링을 하려고 한 RTX3070 디맥을 위해 쓰이다",2022-10-19,0,1
126,"

우리 아이가 레나를 좋아해요",2019-12-19,1,0
127,"
엄마 나 1000시간 넘었어!!!",2022-12-24,0,1
128,"
(짝!) 디모콜라보! 당장! 어서!

+디모,사이터스 콜라보기념 성지순례하러왔습니다.",2020-03-07,0,1
129,"
누가 리듬게임을 입문하고 싶다고 하면, 이 작품을 추천해줘라.
가격이 조금 있지만, 90일마다 돌아오는 새시즌 할인을 기다렸다 할인 가격으로 사기에는 충분한 가치가 있다.

최근 DLC 묶음이 변경되서, 입문하는 유저, 디맥을 처음하는 유저라면 디럭스 에디션을 할인 할 때 사길 바란다. V EXTENSION과 V EXTENSION 2 모두 엄청난 오리지널 곡들을 포함하고 있다.

많이 안해도 괜찮다, 그냥 리듬게임이 하고 싶을 때, 조용히 켜서 혼자 즐기거나, 오픈매치에서 다같이 놀아도 상관 없다. 이 게임의 의의는, 그저 ""정석적인, 대중적인 리듬게임""이라는 것에서 모두 정리된다.",2021-05-27,0,1
130,"
레더에서 하루에 똑같은 사람 3번이상 매칭 안되게 해줬으면",2021-07-21,0,0
131,"Posted: February 27
세일할 때 사야지",,0,1
132,"
디맥은 디모 디엘씨를 더 내놔라;",2022-08-24,0,1
133,"Posted: March 18
재밌는데 정가 주고 개호구",,0,1
134,"

디맥! 싼다! 아니 산다!",2019-12-29,1,1
135,"Posted: April 20
흥이가 귀엽고 망이가 맛있어요",,0,1
136,"

디맥과 함께한 겜생 14년...

실력은 안늘지만 그냥 하는것만으로도 즐겁다..

다만 ... 노력하지 않으실꺼라면 비추천 하겠습니다

노력하시면 점점 재밌어지는 리듬게임 ㅊㅊ",2020-02-09,1,1
137,"
아니 키음 없는 반쪽짜리 dlc 면 가격도 반값에 내야지
이걸 다 쳐받아 먹으려하네",2020-07-19,0,0
138,"
재밌는데 하다보면 지쳐서 힘들어, 근데 계속 하게됨.......무친 게임
(눈은 피곤한데 손이 따라가고 있어 ㄷㄷ)",2022-11-29,0,1
139,"
게임은 정말 잘 만들었으나, DLC로 곡을 판매하는 가격이 높고(아직 덜 나온 곡들도 많으니까요) 얼리억세스때 구매한 사람들의 불만이 충분히 이해되는 점. 래더매치 골드입니다만 실버때부터 퍼펙트플레이하는 사람이 넘쳐나서 무력감만 느끼고 연패하는 상황이 다수 발생한다는 점... 아직 보완할 게 많은 게임인 건 확실합니다.",2020-03-13,0,1
140,"
너무 프로그램이 무거움
조금만 더 가벼웟으면",2020-10-06,0,0
141,"
안구건조증 걸리기 딱좋네여 재밌습니다",2021-01-07,0,1
142,"
현 시점(앞서 해보기)의 문제점(향후 업데이트나 정식발매 시 수정)

1. 플스판을 그대로 포팅한 채보 - 덕분에 기존 플스판의 양쪽 아날로그 스틱에 대응하는 노트도 키보드로 맵핑되어있어서 4키는 특정 구간에서 6키 체험을, 6키는 8키체험을 하게 됨

2. 싱크 밀림 및 인풋렉,테어링 현상 - 플레이 하다보면 점점 싱크가 어긋나는 현상이 나타남. 브이싱크를 켜면 인풋렉이, 끄면 테어링 현상이 일어남. 게다가 플스판에는 존재했던 싱크조절이 없어짐

3. 마우스 사용 불가능 - 모든 옵션을 전부 키보드로 맞춰주는데 이게 상당히 불편함. 특히 곡도 많은데 휠로 쫘라락 못굴리고 키보드로 일일히 눌러서 넘어가야함

4.

5. 에어 모드의 존재의미 - 무슨 의도로 기획한건지 당최 모르겠음. 실시간 소통을 하고싶었던건지 어그로종자가 분탕쳐서 더럽히면 아마 평생 손 안댈듯

6.

7. 미션 모드는 부활

8. 0.1 단위로 미세 조정 가능

앞서 해보기 시점에서는 추천하기 조금 애매함.


2021.03.18 추가
앞서 해보기 시절 문제점은 대부분 다 고쳐졌고, 옆동네 EZ2ON : REBOOT R과 함께 국산 리듬게임의 두 기둥으로서 오래오래 갔으면 좋겠음

그리고 제발 포터블3 DLC...내주십쇼",2019-12-19,0,1
143,"
음반 운영자 최대 존중 / 브이
(DJ Max Respect V)

배급사 네오위즈(대한민국)
제작사 로키 스튜디오(대한민국)


디제이 맥스 리스펙트 입니다
대한민국 리듬게임의 황금기를 이끈 시리즈중 하나입니다

팀이름이 펜타비전 엔터테인먼트였던 시절 이전 EZ2DJ 로 유명한 어뮤즈월드의 핵심 멤버가 회사랑 싸우고 빡쳐서 만든 시리즈가 DJ(대중) 맥스 시리즈입니다

당시 핵심이였던 CROOVE, Forte Escape, Ponglow는 어뮤즈월드를 나와서 DJ 맥스 시리즈를 만드는것을 시작으로 현제 존중(리스펙) 시리즈까지 왔습니다



어찌보면 학창시절 포터블(psp)로 플레이한 저는 또다른 감동이 아닐까 생각이됩니다



탭소닉에 관련된 단점들을 전부 보안하고 마침내 클래식 최신곡 까지 믹스해버린 엄청난 사고를 치게됩니다

전 개인적으로 비록 Early Access 지만 지금 이렇게 해도 출시해도 나쁘지않고 오히려 기대되는 리듬게임이라고 생각이됩니다 기대되네요 나쁜점을 더욱 보안하고 좋은점을 더욱살린 리듬게임 더욱더 업그레이드된 디제이맥스 포터블입니다

201912270730

===================이후 추가수정예정--------------------------------------------

202001160320

20년 1월 16일 부로 온라인 모드가 업데이트가 되었습니다

결과는 뭐랄까 pc의 맛이아닌 콘솔 이식의 맛이 느껴져서 쫌 아쉽긴했지만 사실 PC 느낌좀 나게 마우스도 지원해주었으면 하는 작은바램도있었습니다 >.< .

그래도 짭밥은 짭밥인지라 네오위즈가 어느정도 잘 잡고 운영하는것같습니다

이번에 OGN 에서 토너먼트 대회도 했던데 열심히 홍보해서 제발 흥했으면 좋겠습니다

국산리듬게임 해외진출은 언제나 응원합니다.


2020.03.08 현상황 구 펜타비전 보는기분",2019-12-27,0,1
144,"
리듬게임 (게임 아님)
내려오는 노트를 맞는 타이밍에 누르세요. (싱크 안맞음)
다양한 곡을 즐기세요(추가안해줌)
씹덕게임(씹덕 안챙김)
고인물게임 (고인물들 안챙김)
SC는 PC를 위한 전용패턴으로 키보드로 플레이를 권장합니다. (키보드 되팔렘한테 팜)",2022-04-11,0,0
145,"
절대..절대 랭크를 돌리지 마세요....",2022-09-25,0,1
146,"
MAX 1~90% : 1",2021-11-02,0,1
147,"
미션 레벨 디자인한 사람 직접 앉혀놓고 깰 때까지 시키고 싶음",2021-08-16,0,1
148,"
정통 스타일 리듬게임으로 대부분의 라이벌이 오락실 아케이드로 명맥을 유지하는 시점에
콘솔과 PC를 통해 지속적인 업데이트를 해주는 몇 안되는 리듬게임
기존 작품으로부터 비롯된 수많은 명곡들과 추가되는 신곡 및 구작들의 음악은
비록 DLC 구매를 요구하긴 하지만 굉장히 많은 곡수를 자랑하는 게임이 되도록 하였다
DLC 가격도 수록곡 분량에 비해 나름 착한편이라 한번에 다 사기엔 부담이 되지만
게임에 충분히 매력을 느꼈다면 구매에 돈이 아깝지 않을 작품",2020-11-30,0,1
149,"

친구랑 플스판으로 한 번 해보다가 마음에 들어서 구입해봤는데, PC판도 꽤 재미있더군요.
그런데 확실히 고인물들이 많으신지 온라인으로 할 때 보면 겨우 90% 넘을 때 남들은 다 99% 찍더군요;;
다른 거는 다 만족하는데, 고인물 정도의 실력이 아니라면 온라인 대전은 비추합니다. 브론즈에서 100% 한 두개 차이로 승부 결정되는 것 보고는 저는 포기했습니다....",2020-03-06,1,1
150,"
새게임이지만 새곡은 따로 사라는겜
구작곡을 dlc로팔면 몰라도 이건좀..",2020-03-12,0,0
151,"
패스복각해 제발
늦게 시작했으니 패스없는거 내 잘못이지만 억울해 복각시즌해줘",2022-12-25,0,1
152,"
리듬게임에 조금이라도 관심이 있는 모든 유저들에게 꼭 한번 즐겨보길 권하고 싶은 작품

스팀 리듬게임 먹이사슬의 최상위 포식자.
높은 완성도의 곡들과 세련된 ui 디자인이 돋보이며,
양 손의 엄지만으로 완주가 가능한 플스판 채보에 더해 스팀버전 한정으로 다중입력을 요구하는 키보드 특화 채보를 추가하여
기존 플스판 디제이맥스 리스펙트를 구입한 유저들까지 끌어모으는 데 성공한 점이 특징이다.


라면
정말 쉬운 난이도의 곡풀도 넓기 때문에 주눅들 필요 없이 즐겁게 플레이할 수 있다.

라면
긴말없이 반드시 해보길 추천하는 높은 완성도의 작품.

라면
굳이 또 살 정도로 스팀판만의 엄청난 장점이 있는 건 아니다.
그러나 1:1 등급전(래더매치), 다인 멀티플레이, 키보드 특화 채보(SC패턴)이 추가되었고 기존 채보도 키보드로 플레이가 가능한 부분을 생각하여, 팬심이 있다면 구입을 고려하기 충분한 조건이라고 생각. 이중지출이 아까우니 세일까지 플스판하면서 존버하는 방법도 있다.


추천

8.5 / 10",2020-09-02,0,1
153,"
장점

스팀으로 출시한거는 상당히 고무적인것이라고 볼 수 있음. 판정도 타 리듬게임보다는 넉넉한 편이고 채보도 많고 미션, 컬렉션, 온라인등 컨텐츠가 많다. 또한 기존에 리듬게임을 접해본 사람이라면 진입하기가 다소 수월하고 아예 처음 하는 유저층도 어느정도 즐길 수 있게 난이도가 편성 돼있다는것은 좋은점이라고 생각함. 곡의 성향 또한 최근 하드코어 위주로 흘러가는 현 리겜과는 달리 다양한 장르가 있다는것도 장점이라고 볼 수 있음.
얼엑때부터 해온 유저로써 까놓고 얘기하자면 6월 패치 전까지는 많이 부족하고 미숙한 면이 있었지만 꾸준한 사후 패치로 현재는 레이턴시도 해결되었고 여러가지 편의성도 패치해놓은 상태라서 서서히 완성도가 높아지고 있다.
또한 디맥시리즈중 유일하게 DLC가 순조롭게 나오고 있는 작품이란 점에서 높은 평가를 할 수 있다.
타사 리듬게임들과의 콜라보를 진행하면서 수록곡의 풀을 넓히고 있다는점도 긍정적으로 볼 수 있다.

단점

사실상 할인을 안하고 정가로 사면 손해보는 느낌이 든다. 이미 본편dlc에서 추가 컨텐츠로는 키보드 최적화 채보인 SC채보의 추가가 있는데 신규유저는 sc패턴의 진입장벽이 있고 고인물들은 패턴 갯수가 부족함을 항상 느낀다. 이러한 상황에서 물론 출시할인이 존재하지만 본편과 동일한 가격을 책정했다는것은 다소 부담이 되는것은 사실이다.
래더의 동기부여가 사실상 없다시피 하다. V가 versus를 뜻하는 만큼 유저들간의 경쟁을 강조했다는 것인데, 현 시점에서는 정식발매임에도 불구하고 몇개월째 이어지는 프리시즌이나 매칭의 어려움이나 고등급을 달성해도 아무런 보상이 없다는것은 아쉬운 부분이다. 다만 본편 dlc의 진도를 모두 따라잡음으로써 차후 패치에서의 개선을 기대해볼만 하다.",2020-10-08,0,1
154,"Posted: January 5
아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90%아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90% 아니 눌렀잖아 MAX 90%",,0,1
155,"
국산 pc 리듬게임중 개인적으로 최고

일단 그 -분홍 원- 만 아닌것으로 사실 50퍼는 먹고 들어감 저작권 걱정은 없자너ㅋㅋ;

근데 양심적으로 bpm 고정은 좀 만들어주자 진짜",2020-03-22,0,1
156,"Posted: February 2
눌렀다고",,0,1
157,"
소통좀",2020-03-12,0,0
158,"
psp사고싶어짐",2021-04-02,0,1
159,"Posted: January 20
디맥 > 이지투온 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>오투잼",,0,1
160,"
플레이 타임 이정도면 인증은 어느정도 된 거 같고

1. 심심하면 네트워크 끊김. 더 심각한 건, 게임은 멀쩡히 진행되는데 신 기록 세운게 저장이 안되는 아주 X같은 경우가 가끔 발생함. 당신의 컴퓨터 성능과는 아무 상관없이 끊기고 프레임 드랍나고 버그 걸립니다

특히 문제가 되는 건 래더 매치. 래더 중에 프레임 드랍이 심심찮게 걸리는데, 고수층으로 갈 수록 민감해지다보니 하면 할 수록 더 크게 다가옴

2. 조선시대 선비도 안 할 법한 말도 안되는 온라인 채팅 금지어. 지들 회사 이름은 또 왜 금지어고 1년 2년 할때 년도 금지어라서 1year 이따구로 쳐야하고, 64는 대체 왜 금지어인데? 패치 좀 해라 제발

3. 앞의 둘 제치고 가장 중요한 문제. 소통. 유저들이랑 소통하겠다고 디코 만들어놓고 조금만 심기 뒤틀려도 밴해버리는 게 무슨 소통인지 모르겠음. 네오위즈 측 문제로 서버가 다운된 시기에 정당한 비판글을 써도 글 쓴 사람 강퇴시키는 걸 보고 감탄을 금할 수 없었습니다.


디맥 진짜 좋아하고 대깨맥인데 깔 건 까야지

솔직히 재밌습니다. 재미만 놓고 보면 진짜 10점 만점에 10점인데 그지같은 서버, 운영, 버그로 5점 깎아서 10점 만점에 5점임",2021-03-09,0,0
161,"

얼리엑세스 1주차 간략 평가

장점

+ 내가 간지나는 피아노 연주자가 된듯한 환상을 느낄 수 있음. 잘한다면...
+ 디제이맥스 시리즈 역사상 최다 수록곡 + 추후 PS4판으로 나왔던 DLC도 추가 예정.
+ 스팀에 나온 리듬 게임중에서 음악의 퀄리티와 볼륨을 동시에 잡은 게임.



- 프레임 옵션에 따른 싱크 문제가 있음.
(수직동기화를 키면 싱크가 밀리고 240프레임으로 설정해야 싱크가 맞음)
- 디제이맥스 트릴로지와 다른 키배치로 적응이 필요
(키 변경이 가능하지만 좌우 쉬프트키 사용으로 인해 결국엔 기본으로 하게 됨)
- PS4판과 달리 미션이 없음.",2019-12-21,1,1
162,"
한국리듬 게임계의 자존심. 고민 중이라면 할인떄 사보자 후회는 절때 안함. k팝이랑 협업 해서 가요좀 나왔으면 좋겠다.",2020-06-17,0,1
163,"
재밌는데 하루하루 하면 할수록 노트도 잘 안보이고 손가락도 안따라줌..",2022-12-24,0,1
164,"
국산 리듬게임의 마지막 자존심",2021-05-08,0,1
165,"
나는 분명 열심히 했어 ! 확실해 !! 근데 왜이래",2020-09-18,0,1
166,"
하다 보면 스스로 손가락 쳐 짤렸나 생각듬",2021-02-28,0,1
167,"
Product received for free

이젠 소통도 괜찮고 짱인듯

게임 프리징만 좀 고친다면야...",2021-12-27,0,1
168,"
나의 지갑도둑",2021-12-14,0,1
169,"
온라인 대전모드 나오고 예전 명곡들 점점 더 업데이트 해준다고만 하면 디맥온 부활이라고 볼 수 있겠음.

-------------------------------------------------------------------------------------------------------------------
추가

그런데 기어팩 3만원 실화??? 노래 들어있는것도 아니고 기어랑 노트만 있으면서??

실화임????

해도 너무한거 아니냐고......",2019-12-25,0,1
170,"

리뷰에 앞서
나는 DJMAX 시리즈의 팬은 아니다. 첫 DJMAX가 온라인이었다고 생각하면 틀니이며
꽤나 오랜 시간을 플레이 한 플레이어이지만, 팬은 아니다. 시리즈가 꾸준히 나올 때 마다
돈을 들여 구매를 했지만 팬은 아니다.
그리고 나는 리뷰 작성을 그렇게 선호하는 것은 아니다. 내가 하는 비평이 옳을 수도 있고
아닐 수도 있으며, 괜히 썼다가 ‘겜알못’ 소리를 들을 것이 뻔하기 때문에.
하지만 이 게임의 가장 개 같은 시스템인 사이드키 하나 때문에 이렇게 스트레스를 받았고
그에 대한 것을 시작하여 리뷰를 작성하기 시작했다.

사이드 노트 삭제좀
나는 DJMAX 리스팩트의 PS4 버전이 있었다. 지금은 PS4와 함께 게임을 중고로 팔아버려
게임을 가지고 있지 않으니 ‘있었다’라고 하겠다. PSP시절 DJMAX 포터블 시리즈를 하다가
아날로그가 갈려 나간 사람은 나 뿐만이 아니라 아마 다른 유저들도 겪어 봤을테다. (아님말고)
하고싶은 말은 PSP시리즈 이후로 PC로 나온 트릴로지 이후 간만에 콘솔로 나온 시리즈이며
여태껏 PS4판에서 플레이어들이 겪었던 역겨운 패턴 (6키에서 1・3번버튼이 동시에 나오는 그것)
을 겪어 봤던 유저들의 불만을 알기에, 그들은 듀얼쇼크4에 최적화된 패턴을 만들었다.
그리고 그 부분은 칭찬을 할 만한 요소다. 그리고 그런 장인정신을 가지고 게임을 만들던
그런 회사에서 PC판으로 출시한다고 하였으며, SC난이도의 귀환을 알렸다.
그렇기에 나는 더더욱 기대를 했다. 그리고 나는 아날로그 스틱 패턴이 그대로
PC에 나온다는 말을 듣고 정신이 멍 해졌다. 제일 먼저 떠오른 생각은
“아니 씨발 그걸 어떻게 치지?? 키보드로 치라고??”
“아니 뭐 패턴을 그렇게 수정을 해서 출시를 하고 그런 장인정신을 가진 애들이니
그대로 날먹으로 내버리겠냐? 그냥 일반 노트로 수정을 해주겠지.”
아니었다. 이 십새끼들은 그런 거 없이 그냥 그대로 쳐 냈다.
게임 제목에 적혀 있는 DJMAX RESPECT V의 Respect는 온데간데 없고 V라는 단어는
Viungsin(븅신)이라는 비웃음처럼 느껴졌다. 그렇다. 그들 마저 ‘얼리엑세스’해버린 것이다.
발매 당시에 생긴 싱크 문제나, BGA를 끈 상태에서 재시작을 하면 게임이 진행이 안되는 버그는
꽤나 빠르게 해결을 했다. 하지만 이새끼들은 PS4판의 패턴을 그대로 쳐 이식한 주제에
나 포함 꽤 많은 유저들이 개좆같다고 소리치는 사이드키에 대해선 아직 언급이 없다.
4키는 6키가 되며, 6키는 8키가 되고, 8키는 10키가 되는 놀라운 게임이다.
그리고 특정 곡들은 사이드 노트가 없다. 그 부분이 너무 화난다.
내가 좋아하는 곡들은 버튼을 2개 더 눌러야 되는 개 좆 같은 일이 생기고
내가 평소에 안 하는 곡들은 사이드 버튼 없이 쉽게 할 수 있다.
초등학생 시절 특정 반찬을 못 먹는 나에게 선생이 입을 벌려 강제로 먹이는 그런 느낌이다.
그리고 그 선생들은 하나같이 편식을 하면 안된다고 했지만 개 좆빠는 소리다.
본인이 하기 싫으면 하는건데. 그래서 나는 사이드 버튼이 너무나도 싫다.
그 때의 기억이 떠올라서 그런 게 아니라 4키라고 표현을 했으면 4키어야 되는게 아닌가?
버튼을 표기한 것 보다 더 많은 버튼을 눌러야 한다니.
PS4버전에선 단순히 버튼을 누르기엔 너무 게임의 패턴이 루즈해지며,
추가적인 패턴을 아날로그에 넣는 것은 이미 시리즈 내내 해왔기에 넘어갈 수 있지만
이걸 굳이 PC에서 까지 해야 할 필요가 있는 것일까. PS4에선 새로운 참신한 조작일 수 있지만
PC에서는 너무나도 불쾌하고 짜증나는 요소다. 그들이 고집한다면 어쩔 수 없겠지만,
적어도 나는 플레이를 하지 않을 것 같다.
“넌 듀얼쇼크4도 없냐? 패드로 하면 되는데ㅋㅋ”
듀얼쇼크4를 포함한 현세대 기기 컨트롤러는 모두 있다. 테트리스 하다가 분노를 부르는
스위치의 프로콘, 십자패드가 가장 쫄깃한 엑박X 컨트롤러, 그 외에도 이런저런 컨트롤러가 많다.
하지만 이건 PC 게임이다. PC게임에서 컨트롤러는 부가적인 요소이며 기본적으로는
키보드 마우스가 메인이다. 그런데 아날로그 스틱을 그대로 키로 박아버리다니.
정말 불쾌하다.

UI의 조잡함
아마 이번 DJMAX가 처음인 유저들은 마우스를 암만 눌러도 반응이 없는
대단한 인터페이스를 보고 감탄을 할 수 밖에 없었을 것이다.
위에도 언급했지만 이 게임은 PC게임이다. 쓰잘떼기 없는 아날로그 스틱 패턴은 그대로 넣었고
왜 마우스 조작은 넣지 않았는가? 이전 PC로 나왔던 트릴로지에서는 잘만 해놓고 말이다.
나중에 유저들이 불만을 표하면 업데이트 한다고 했지만, 이건 처음부터 있어야 하는
부분이 아닌가? 이식을 하는 과정에서 마우스 조작을 넣지 않는 부분이 편하다고 했지만,
그것은 이식을 하는 부분에서 편한 것이지 유저가 절대로 편안할 인터페이스는 아니다.
키 설정을 하는 부분에서 마우스를 지원하지 않으면 많은 유저들이 헷갈릴 것이 분명한데
왜 그 부분은 처음부터 추가를 하지 않았는지에 대해서 묻고싶다. 내가 곡을 선택하기 위해
방향키를 아래로 쭉 누르는 것과 마우스로 내가 원하는 부분을 포인팅 해서 누르는 직관적인
조작의 편의성을 고려하지 않았다는 건 정말 유저들의 플레이 환경을 고려하지 않았단 사실이다.
다시한번 말 하지만 이 부분은 유저들이 불편함을 말하기 이전에, PC게임이라면 기본적으로
있어야 하는 부분이다. “곧 하겠다” 도 아닌 계속 불편하다는 이야기가 있으면 업데이트를 하겠다?
진짜 존나 병신 같은 소리다. 버튼만으로 충분히 할 수 있지만 처음 입문하는 유저들에겐 불편할
인터페이스다. 이 부분은 최대한 빨리 만들었으면 좋겠다.

끝으로
맞다 말하는 거 까먹었는데 XIGNCODE3 쓰는 거 존나 개 병신 같아요.
첫날에 너무 병신 같아서 깔려고 했는데 까먹었었음 ㅈㅅ 어쨌든 진짜 병신 같아요
어차피 이거 해도 뚫을 놈은 뚫고 반복 메크로 돌리는 놈 있는 거 아는데 걍 선택하신 거니
저도 RESPECT(존중)해드릴 게요.
겜창이라 맨날 게임해서 업데이트가 된 지 몰랐는데, 역대급 스코어 뽑아서 개 신났는데
갑자기 업데이트 됐다면서 오류 뱉고 저장 안된 거 되게 꼬운데 이건 대충 넘어갈 게요.
공식 DISCORD 서버를 만드신 걸로 아는데, 플랫폼이 스팀이면 스팀에서 이야기를 했으면 좋겠고
구체적인 로드맵을 말하기 힘들어도 일단 가장 빠른 시일내에 어떤 거 업데이트 할 건지는
말해줬으면 좋겠어요. 신곡 나오는 거 말고 불쾌한 거나 버그 같은 거 정확한 시기는 몰라도
고쳐진다는 사실을 알아 두면 솔직히 덜 꼬울거 같아요.
개발인원이 적은 건 알지만 그렇다고 해서 매 맞을 짓 한 거 못 봐줘요.
저 말고도 쓴 소리를 하려고 하는 사람 많을 건데 종아리 빨리 걷어 두세요.
그리고 빨리 업데이트 해서 회복해서 게임 흥했으면 하는게 제 결론이에요.
포터 로빈슨 좋아하는데 새드 머신 나와서 좋아 미칠 꺼 같아서 솔직히 패드립은 안 했어요.
평소에 친구들에겐 패드립 박아가면서 욕 씨게 했는데 갑자기 포터 로빈슨 노래 나온대서 봐드림
그래도 좆같은건 좆같아서 좆같다고 써 놨으니 이게 좆같구나 하고 알아 두시면 돼요.
뭐 마지막으로 인터넷에 찾아보니까 파트너 스트리머들은 무료카피를 얻었네 뭐네 하는데
그건 잘 모르겠고 카피보다 사람들 해금이 꼬운 건 다들 알고 있을 테니 염두 해두세요.",2019-12-24,1,0
171,"Posted: April 5
고주사율 모니터를 가장 잘 활용하는 게임.",,0,1
172,"
세계 최고의 리듬게임
이게임은 도과 100퍼센트가 끝이 아님니다
아직도 해야할께 많네요 흐규흐규",2021-10-29,0,1
173,"
하하하 막내야 또 속았구나!

옆집 게임은 팬서비스 느낌으로 한정판을 내는것 같은데, 이집 한정판은 분량도 뻑뻑하고 게임도 구리고, 가격은 비싸니... 아주 말아먹는 솜씨가 일품입니다.

블스부터 내려져오는 환장판의 역사가 아직도 이어지고 있습니다.

테크니카 Q 날리고, 탭소닉 레이 자르고, 월챔 버리고, 볼드까지 말아먹은 DJMAX 시리즈는 어떻게 될까요?

당연하죠! 이번에도 게임 아주 뭣같이 만들었습니다! 팬심이고 나발이고 그딴거 싹 없어졌습니다.

먹튀요? 리스펙트 시리즈니까 괜찮겠죠? 는 개뿔. 먹튀를 논외로 치더라도 이걸 살 이유는 없습니다.

부족한 인력과 실력, 그리고 올바른 IP, 방대한 음원들을 말아먹는 훌륭한 방법입니다...

키보드를 위한 SC난이도를 넣었으면서 왜 그걸 활용하지 않고 패드에서 힘든 패턴을 일반난이도로 넣은걸까요? 자신들 조차도 지들이 만드는 게임이 어떤건지 이해도가 부족한건가요?


어차피 이렇게 악평을 써봤자 제작진이 수정해줄거라는 생각은 하지도 않습니다.
그냥 사지말라고 쓴거에요.

그리고 스팀 올라오기전에 디맥이니까 여전히 최적화 망겜이거나 말아먹을것이라고 했던 제 예측은 옳았습니다.

졸라 이해가 안가요.

이거 나오기 전에 탭소닉 볼드나왔잖아요? 그거 초반에 만들다 만 습작수준이라고 대차게 까였었죠? 근데 그 다음에 리스펙트가 PC로 나온다? 이거 완전 습작 가져다가 돈받고 판거 아닙니까?

자기들이 뭘 해야하는지는 아세요? 뭘 하겠다는 목표를 가지면 그것에 대한 과정을 좀 생각을 해봤으면 좋겠네요.",2020-03-13,0,0
174,"
저이 게임 좋아해요",2022-06-10,0,1
175,"
무덤으로 다시 돌아가고 싶으세요?",2020-03-16,0,0
176,"
대체제가 없긴해...",2021-01-30,0,1
177,"
길티기어 콜라보 '해줘'",2021-06-25,0,1
178,"

PC로 부활해줘서 너무너무 고맙습니다 디맥 온라인 이후로 접해볼 기회가 없었는데 이렇게 다시 PC로 발매해줘서 고마워요~!~!~!",2020-02-12,1,1
